game,avg_rating,rating_count
TowerFall Ascension,18.2,4
Fallout 3 - Game of the Year Edition,18.188888888888886,72
Fallout Tactics,18.175,8
Anno 1404,18.114285714285714,7
Risen 3 - Titan Lords,18.1,3
Shadowrun Hong Kong,18.02,5
StarDrive,18.0,10
TERA,17.94712643678161,87
Company of Heroes 2,17.935443037974686,79
Age of Wonders Shadow Magic,17.9,2
The Elder Scrolls III Morrowind,17.835714285714285,28
X3 Reunion,17.8,3
Robocraft,17.78988326848249,257
Dungeon Defenders,17.779545454545453,88
Blood Bowl Legendary Edition,17.754545454545454,11
Talisman Digital Edition,17.75,12
X-COM Terror from the Deep,17.740000000000002,5
Bejeweled 3,17.708333333333332,12
X-Plane 10 Global - 64 Bit,17.7,3
Neverwinter,17.615315315315314,111
GRID,17.61111111111111,18
The Book of Unwritten Tales,17.580000000000002,5
Saints Row 2,17.529411764705884,34
Batman Arkham Origins,17.521250000000002,80
Wargame AirLand Battle,17.51578947368421,19
Age of Empires III Complete Collection,17.496153846153845,52
Wolfenstein The New Order,17.477777777777778,54
Cities XL 2012,17.4,8
"On the Rain-Slick Precipice of Darkness, Episode One",17.366666666666667,3
South Park The Stick of Truth,17.34269662921348,89
Infestation Survivor Stories,17.312727272727273,55
Caribbean!,17.3,1
Killing Floor 2,17.29767441860465,43
Trials Evolution Gold Edition,17.295652173913044,23
Mount & Blade,17.255000000000003,20
The Amazing Spider-Man 2,17.225,4
Black Mesa,17.1625,8
Heroes of Might & Magic III - HD Edition,17.116666666666667,6
Star Wars Jedi Knight Dark Forces II,17.05,4
Bound By Flame,17.0,5
Eador. Masters of the Broken World,17.0,4
Petz Horsez 2,17.0,1
You Need A Budget 4 (YNAB),17.0,9
Mad Max,16.952,25
Trove,16.901333333333334,150
Dead Island,16.879194630872483,149
LIGHTNING RETURNS FINAL FANTASY XIII,16.866666666666667,3
Divinity II Developer's Cut,16.8625,8
SpellForce Platinum Edition,16.85,2
LISA,16.849999999999998,4
Age of Empires II HD Edition,16.825157232704402,159
Beasts of Prey,16.825,4
Gang Beasts,16.814285714285713,7
Legend of Grimrock,16.8125,24
Mordheim City of the Damned,16.8,2
Dragon Nest,16.766666666666666,6
Game of Thrones ,16.758333333333333,12
Assassins Creed Unity,16.742857142857144,14
Victoria II,16.736363636363635,11
GameMaker Studio,16.720000000000002,15
Plants vs. Zombies Game of the Year,16.70888888888889,45
Skyward Collapse,16.7,2
King's Quest,16.7,2
Left 4 Dead,16.69056603773585,159
X3 Terran Conflict,16.677777777777777,9
"Warhammer 40,000 Dawn of War II  Retribution",16.670212765957448,47
Tom Clancy's Ghost Recon Phantoms - EU,16.657446808510638,94
Panzar,16.645454545454545,11
The Masterplan,16.6,1
Defense Grid The Awakening,16.591666666666665,36
The Settlers 7 Paths to a Kingdom - Gold Edition,16.585714285714285,7
Fallout 3,16.562962962962963,27
Portal 2,16.53095823095823,407
Path of Exile,16.516535433070864,127
Blade Symphony,16.5125,8
Team Fortress 2,16.50945273631841,1407
Crimsonland,16.5,1
The LEGO Movie - Videogame,16.491666666666667,12
Deus Ex Human Revolution - Director's Cut,16.461702127659574,47
Men of War,16.45,10
Pro Evolution Soccer 2014,16.45,2
Cities XXL,16.425,4
F1 2013,16.418181818181818,11
Disney Infinity 2.0,16.4,1
Heroes of Might & Magic V Hammers of Fate,16.4,1
Age of Wonders,16.4,2
Space Pirates and Zombies,16.354545454545455,22
Just Cause 3,16.321428571428573,14
Dead or Alive 5 Last Round,16.3,1
Hero Siege,16.254545454545454,22
Stronghold Crusader 2,16.207692307692305,13
Antisquad,16.2,1
RollerCoaster Tycoon Deluxe,16.184615384615384,13
The Binding of Isaac,16.17190082644628,121
Football Manager 2009,16.168181818181818,22
Call of Cthulhu Dark Corners of the Earth,16.166666666666668,3
Grotesque Tactics Evil Heroes,16.15,4
Space Engineers,16.145945945945947,74
Rome Total War - Alexander,16.145454545454545,11
Life Is Strange,16.140625,32
Call of Duty Black Ops,16.111675126903553,197
Painkiller Recurring Evil,16.1,1
Majesty Gold Edition,16.1,1
Gas Guzzlers Extreme,16.06,5
March of the Eagles,16.05,4
TrackMania United,16.0,3
Football Tactics,16.0,1
Never Alone (Kisima Ingitchuna),15.975000000000001,4
Magicite,15.966666666666667,15
LEGO MARVEL Super Heroes,15.960714285714285,28
The Incredible Adventures of Van Helsing,15.956,25
Pirates of Black Cove,15.950000000000001,2
Space Empires IV Deluxe,15.95,2
Out of the Park Baseball 15,15.9,2
The Witcher Adventure Game,15.9,2
Party Hard,15.9,1
The Night of the Rabbit,15.9,1
Game of Thrones - A Telltale Games Series,15.899999999999999,19
Project Zomboid,15.87037037037037,27
IL-2 Sturmovik Battle of Stalingrad,15.85,2
Shift 2 Unleashed,15.825,8
Grand Theft Auto San Andreas,15.794117647058824,68
"Warhammer 40,000 Dawn of War  Dark Crusade",15.764705882352942,17
Audiosurf 2,15.757142857142856,7
Escape Goat,15.75,2
F1 2011,15.74,5
Town of Salem,15.718181818181819,11
"Warhammer 40,000 Dawn of War II - Chaos Rising",15.711904761904762,42
Block Story,15.7,1
RAGE,15.692307692307692,52
Agarest Generations of War,15.6875,8
Half-Life 2 Update,15.671428571428569,7
